user_id,session_id,transaction_date,transaction_time,hour_of_day,is_weekend,city,state,category,merchant,amount,avg_txn_amount,location_entropy,weekend_ratio,category_diversity,time_of_day_pref,risk_appetite_score,spending_velocity,merchant_loyalty_score,dna_deviation_score,trust_score,is_anomalous_session
USER_0000,SES_366816,2024-08-02,09:29:39,9,False,Philadelphia,PA,Online Shopping,Shein,118.29,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1694,0.7926,False
USER_0000,SES_966792,2024-08-03,07:26:03,7,True,Philadelphia,PA,Groceries,Trader Joe's,221.15,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0518,0.9145,False
USER_0000,SES_520829,2024-08-08,07:12:39,7,False,Philadelphia,PA,Misc / Cash,Miscellaneous,119.08,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1683,0.8481,False
USER_0000,SES_400510,2024-08-09,10:03:01,10,False,Philadelphia,PA,Misc / Cash,Miscellaneous,127.47,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1564,0.8786,False
USER_0000,SES_416142,2024-08-16,08:31:24,8,False,Philadelphia,PA,Misc / Cash,Miscellaneous,157.18,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1141,0.8838,False
USER_0000,SES_237621,2024-08-20,06:30:26,6,False,Philadelphia,PA,Online Shopping,Temu,276.51,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1304,0.873,False
USER_0000,SES_503640,2024-08-21,09:25:52,9,False,Philadelphia,PA,Groceries,Publix,223.08,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0545,0.9522,False
USER_0000,SES_606570,2024-08-27,07:45:25,7,False,Philadelphia,PA,Groceries,Publix,123.03,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1627,0.8489,False
USER_0000,SES_433777,2024-09-12,10:36:03,10,False,Philadelphia,PA,Insurance,BlueCross BlueShield,102.74,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1915,0.7943,False
USER_0000,SES_189673,2024-09-18,05:58:47,5,False,Philadelphia,PA,Online Shopping,eBay,1320.72,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.3375,0.6384,True
USER_0000,SES_299641,2024-09-21,08:48:35,8,True,Philadelphia,PA,Online Shopping,Amazon,214.13,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0418,0.9228,False
USER_0000,SES_708279,2024-09-23,09:24:39,9,False,Philadelphia,PA,Insurance,BlueCross BlueShield,254.16,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0987,0.8639,False
USER_0000,SES_413534,2024-09-23,06:10:53,6,False,Philadelphia,PA,Online Shopping,Wayfair,149.98,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1244,0.8393,False
USER_0000,SES_667690,2024-09-26,07:17:28,7,False,Philadelphia,PA,Online Shopping,Shein,183.71,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0764,0.9408,False
USER_0000,SES_497810,2024-09-30,09:20:57,9,False,Boston,MA,Electronics,B&H Photo,2728.83,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.7925,0.1882,True
USER_0000,SES_415644,2024-10-06,07:03:19,7,True,Philadelphia,PA,Online Shopping,Wayfair,198.75,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0551,0.9094,False
USER_0000,SES_725802,2024-10-10,06:01:37,6,False,Philadelphia,PA,Groceries,Kroger,180.2,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0814,0.9287,False
USER_0000,SES_730972,2024-10-23,08:55:37,8,False,Chicago,IL,Travel & Leisure,Marriott,2688.31,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.7925,0.1801,True
USER_0000,SES_890582,2024-11-09,02:40:14,2,True,Philadelphia,PA,Online Shopping,Etsy,2425.8,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.3375,0.6252,True
USER_0000,SES_183933,2024-11-16,03:15:34,3,True,Miami,FL,Travel & Leisure,United Airlines,1806.06,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.7925,0.2255,True
USER_0000,SES_295847,2024-11-17,07:26:32,7,True,Philadelphia,PA,Groceries,Publix,336.33,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.2154,0.7856,False
USER_0000,SES_235407,2024-11-19,06:54:49,6,False,Philadelphia,PA,Insurance,State Farm,143.94,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.133,0.8653,False
USER_0000,SES_713613,2024-11-26,09:03:01,9,False,Philadelphia,PA,Groceries,Whole Foods,324.04,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.198,0.7822,False
USER_0000,SES_551864,2024-12-22,08:01:48,8,True,Philadelphia,PA,Groceries,Costco,310.36,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1785,0.823,False
USER_0000,SES_905311,2024-12-22,06:54:37,6,True,Philadelphia,PA,Online Shopping,Target,340.82,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.2218,0.8138,False
USER_0000,SES_572405,2024-12-23,10:38:09,10,False,Philadelphia,PA,Online Shopping,eBay,107.68,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1845,0.8038,False
USER_0000,SES_202416,2025-01-19,07:34:04,7,True,Philadelphia,PA,Groceries,Publix,325.29,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.1997,0.8175,False
USER_0000,SES_877295,2025-01-27,08:51:05,8,False,Philadelphia,PA,Insurance,BlueCross BlueShield,214.43,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0422,0.9436,False
USER_0000,SES_266133,2025-01-28,10:45:12,10,False,Philadelphia,PA,Insurance,BlueCross BlueShield,213.38,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0407,0.9787,False
USER_0000,SES_948371,2025-01-30,04:15:59,4,False,Seattle,WA,Online Shopping,Etsy,1678.1,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.6525,0.3414,True
USER_0000,SES_217511,2025-02-12,07:03:08,7,False,Philadelphia,PA,Online Shopping,Amazon,241.89,211.12,2.8488,0.3869,0.3338,0,0.2146,4.28,0.5298,0.0812,0.9315,False
