SCORE_ID,TRANSACTION_ID,USER_ID,ZSCORE_FLAG,VELOCITY_FLAG,CATEGORY_RISK_SCORE,GEOGRAPHIC_RISK_SCORE,ISOLATION_FOREST_SCORE,COMBINED_RISK_SCORE,RISK_LEVEL,RECOMMENDATION,SCORED_AT
09975ca6-72e,0D57D2DD85EF,USER_001,0.0,0.0,0.9,0.5,0.6928776464099609,0.3832,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
1b515833-8f8,5493A9436604,USER_001,0.0,0.0,0.9,0.5,0.5270956248568485,0.3418,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
dab8e14a-79c,7C9A2201670C,USER_001,0.7845,0.0,0.2,0.2,0.6428499466998217,0.4168,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
32b45b4d-674,EB6DB280CEA3,USER_001,0.0,0.0,0.4,0.5,0.4197424959989726,0.2399,LOW,Allow transaction. Standard monitoring.,2026-02-21T18:30:00.781960
5fca1d5f-27c,41637D58EC93,USER_001,0.0,0.0,0.4,0.5,0.5495135321930685,0.2724,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
2b63e1d9-7d3,1897902CEEB3,USER_001,0.0,0.0,0.4,0.5,0.45778964060753735,0.2494,LOW,Allow transaction. Standard monitoring.,2026-02-21T18:30:00.781960
254380bf-fd0,54A91639728B,USER_001,0.0,0.0,0.9,0.5,0.5445935174157266,0.3461,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
153f6d66-f6c,70A21E7A683F,USER_001,0.0,0.0,0.9,0.5,0.49002147333034873,0.3325,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
183024c7-049,6760A2D6169A,USER_001,0.0,0.0,0.4,0.5,0.5943164136283767,0.2836,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
b47ec09d-557,F2FF9F1B1956,USER_001,0.0,0.0,0.9,0.5,0.4506166075875532,0.3227,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
7cc2da64-5bc,7D1A36130382,USER_001,0.0,0.0,0.9,0.5,0.4389868818781517,0.3197,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
68d81dfa-796,EE2D84D86BAA,USER_001,0.0,0.0,0.9,0.5,0.5593382367328044,0.3498,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-21T18:30:00.781960
